Job Title,Work Type,Average Normalized Salary,AI Impact,Tasks,AI Models,AI Workload Ratio,Domain
Clinical Pharmacist,Full Time,154800.8,50%,93,745,0.1248322147651006,Data & IT
Clinical Pharmacist,Other,83200.0,50%,93,745,0.1248322147651006,Data & IT
Clinical Pharmacist,Part Time,128960.0,50%,93,745,0.1248322147651006,Data & IT
Clinical Psychologist,Full Time,162056.125,10%,377,1547,0.2436974789915966,Leadership & Strategy
Clinical Research,Full Time,92608.91807692309,45%,599,1940,0.3087628865979381,Supply Chain & Logistics
Clinical Research,Other,54600.0,45%,599,1940,0.3087628865979381,Supply Chain & Logistics
Clinical Research,Part Time,210840.0,45%,599,1940,0.3087628865979381,Supply Chain & Logistics
Clinical Social Worker,Full Time,88681.63714285714,20%,7,23,0.3043478260869565,Law Enforcement
Clinical Social Worker,Other,125146.66666666667,20%,7,23,0.3043478260869565,Law Enforcement
Clinical Social Worker,Part Time,111728.57142857143,20%,7,23,0.3043478260869565,Law Enforcement
Clinical Supervisor,Full Time,78828.47272727272,40%,388,1202,0.3227953410981697,Hospitality
Clinical Supervisor,Part Time,85280.0,40%,388,1202,0.3227953410981697,Hospitality
Clinical Trial Manager,Full Time,115000.0,50%,173,1744,0.099197247706422,Hospitality
Clinician,Full Time,69054.7534375,15%,724,2766,0.2617498192335502,Supply Chain & Logistics
Clinician,Other,116079.25,15%,724,2766,0.2617498192335502,Supply Chain & Logistics
Clinician,Part Time,75254.4,15%,724,2766,0.2617498192335502,Supply Chain & Logistics
Cloud Architect,Full Time,175291.66666666666,60%,142,1039,0.136669874879692,Construction
Cloud Architect,Other,144300.0,60%,142,1039,0.136669874879692,Construction
Cloud Consultant,Other,176800.0,40%,772,2262,0.3412908930150309,Leadership & Strategy
Cloud Consultant,Part Time,135200.0,40%,772,2262,0.3412908930150309,Leadership & Strategy
Cloud Engineer,Full Time,128324.2,70%,152,1013,0.1500493583415597,Communication & PR
Cloud Engineer,Other,149476.36363636365,70%,152,1013,0.1500493583415597,Communication & PR
Cloud Engineer,Part Time,138800.0,70%,152,1013,0.1500493583415597,Communication & PR
Club Manager,Full Time,71250.0,30%,141,878,0.1605922551252847,Construction
Cnc Machinist,Full Time,55452.8,30%,134,780,0.1717948717948718,Supply Chain & Logistics
Coach,Full Time,78259.70370370371,10%,946,3620,0.2613259668508287,Communication & PR
Coach,Other,20318.75,10%,946,3620,0.2613259668508287,Communication & PR
Coach,Part Time,34902.4,10%,946,3620,0.2613259668508287,Communication & PR
Cobol Developer,Full Time,95000.0,75%,130,929,0.1399354144241119,Supply Chain & Logistics
Coding Specialist,Full Time,45760.0,60%,138,1094,0.1261425959780621,Leadership & Strategy
Collection Specialist,Full Time,36400.0,60%,184,1663,0.1106434155141311,Supply Chain & Logistics
Collection Specialist,Other,55120.0,60%,184,1663,0.1106434155141311,Supply Chain & Logistics
Collection Specialist,Part Time,43316.0,60%,184,1663,0.1106434155141311,Supply Chain & Logistics
Collections Specialist,Full Time,49616.875,60%,184,1663,0.1106434155141311,Law Enforcement
Collections Specialist,Other,43472.0,60%,184,1663,0.1106434155141311,Law Enforcement
Collections Specialist,Part Time,47840.0,60%,184,1663,0.1106434155141311,Law Enforcement
Commercial Account Manager,Full Time,60000.0,35%,374,2294,0.1630340017436791,Administrative & Clerical
Commercial Analyst,Full Time,82500.0,65%,157,1039,0.1511068334937439,Construction
Commercial Banker,Full Time,192660.0,25%,209,1447,0.1444367657221838,Sales & Marketing
Commercial Driver,Full Time,48776.0,50%,32,284,0.1126760563380281,Law Enforcement
Commercial Lender,Full Time,61250.0,30%,141,874,0.1613272311212814,Sales & Marketing
Commercial Loan Officer,Full Time,78333.33333333333,35%,441,1284,0.3434579439252336,Medical & Healthcare
Commercial Manager,Full Time,145083.33333333334,25%,264,1735,0.1521613832853026,Construction
Commercial Property Manager,Full Time,110833.33333333333,25%,224,1516,0.1477572559366754,Sales & Marketing
Commercial Sales Manager,Full Time,125000.0,35%,376,1109,0.3390441839495041,Leadership & Strategy
Commissioning Engineer,Full Time,146250.0,15%,658,2529,0.2601818900751285,Sales & Marketing
Commissioning Engineer,Other,176800.0,15%,658,2529,0.2601818900751285,Sales & Marketing
Commodity Buyer,Full Time,88333.33333333333,55%,147,1117,0.1316025067144136,Sales & Marketing
Communications,Full Time,130035.95925925925,40%,841,2410,0.3489626556016597,Sales & Marketing
Communications,Other,88974.78181818181,40%,841,2410,0.3489626556016597,Sales & Marketing
Communications Consultant,Other,69680.0,57%,139,1033,0.1345595353339787,Leadership & Strategy
Communications Manager,Full Time,94954.07692307692,98%,365,2546,0.143362136684996,Communication & PR
Communications Manager,Other,96440.0,98%,365,2546,0.143362136684996,Communication & PR
Community Health Worker,Full Time,59649.2,25%,227,1556,0.1458868894601542,Hospitality
Community Liaison,Full Time,48728.5,25%,246,1602,0.1535580524344569,Communication & PR
Community Manager,Full Time,66801.38888888889,25%,335,1928,0.1737551867219917,Sales & Marketing
Community Manager,Other,40600.0,25%,335,1928,0.1737551867219917,Sales & Marketing
Community Worker,Full Time,58562.4,10%,984,4335,0.2269896193771626,Sales & Marketing
Compensation Manager,Full Time,105000.0,50%,170,1254,0.1355661881977671,Construction
Compliance Analyst,Full Time,97175.50637931035,60%,187,1309,0.1428571428571428,Leadership & Strategy
Compliance Analyst,Other,95940.0,60%,187,1309,0.1428571428571428,Leadership & Strategy
Compliance Officer,Full Time,166123.20666666667,92%,194,1369,0.1417092768444119,Medical & Healthcare
Compliance Officer,Other,136925.0,92%,194,1369,0.1417092768444119,Medical & Healthcare
Component Engineer,Full Time,148250.0,32%,192,1452,0.1322314049586777,Law Enforcement
Composite Technician,Other,62400.0,30%,149,1079,0.1380908248378128,Data & IT
Computer Engineer,Other,76585.6,20%,6,46,0.1304347826086956,Administrative & Clerical
Computer Scientist,Full Time,97192.0,60%,118,779,0.1514762516046213,Sales & Marketing
Computer Technician,Full Time,52270.4,45%,475,1535,0.3094462540716612,Communication & PR
Computer Technician,Other,82680.0,45%,475,1535,0.3094462540716612,Communication & PR
Concept Artist,Full Time,115100.0,40%,786,2804,0.2803138373751783,Leadership & Strategy
Concierge,Full Time,42641.759999999995,10%,961,4145,0.2318455971049457,Administrative & Clerical
Concierge,Part Time,39785.2,10%,961,4145,0.2318455971049457,Administrative & Clerical
Conference Coordinator,Full Time,56160.0,30%,289,2026,0.1426456071076011,Data & IT
Configuration Manager,Full Time,103500.0,40%,701,2069,0.3388110198163364,Communication & PR
Configuration Manager,Other,138320.0,40%,701,2069,0.3388110198163364,Communication & PR
Construction Engineer,Full Time,95333.54299999999,20%,6,42,0.1428571428571428,Communication & PR
Construction Engineer,Other,46800.0,20%,6,42,0.1428571428571428,Communication & PR
Construction Estimator,Full Time,118437.5,50%,163,1111,0.1467146714671467,Leadership & Strategy
Construction Laborer,Full Time,30160.0,20%,5,40,0.125,Sales & Marketing
Construction Supervisor,Full Time,124800.0,15%,847,3358,0.2522334723049434,Law Enforcement
Construction Supervisor,Other,115960.0,15%,847,3358,0.2522334723049434,Law Enforcement
Construction Technician,Full Time,55049.86666666667,10%,880,3156,0.2788339670468948,Hospitality
Construction Worker,Full Time,47320.0,20%,5,40,0.125,Data & IT
Consultant,Full Time,100268.63511705685,35%,495,1511,0.3275976174718729,Administrative & Clerical
Consultant,Other,142474.7168674699,35%,495,1511,0.3275976174718729,Administrative & Clerical
Consultant,Part Time,85232.31904761905,35%,495,1511,0.3275976174718729,Administrative & Clerical
Consulting Engineer,Full Time,133575.0,28%,208,1679,0.1238832638475282,Supply Chain & Logistics
Content Creator,Full Time,94183.33333333333,20%,11,65,0.1692307692307692,Law Enforcement
Content Creator,Other,96720.0,20%,11,65,0.1692307692307692,Law Enforcement
Content Creator,Part Time,43680.0,20%,11,65,0.1692307692307692,Law Enforcement
Content Editor,Full Time,80975.0,45%,838,3084,0.2717250324254215,Law Enforcement
Content Editor,Other,73920.0,45%,838,3084,0.2717250324254215,Law Enforcement
Content Manager,Full Time,128841.5,30%,314,2327,0.1349376880103137,Administrative & Clerical
Content Manager,Other,37458.75,30%,314,2327,0.1349376880103137,Administrative & Clerical
Content Producer,Full Time,68333.33333333333,57%,216,1506,0.1434262948207171,Medical & Healthcare
Content Producer,Other,123760.0,57%,216,1506,0.1434262948207171,Medical & Healthcare
Content Writer,Full Time,88750.0,35%,553,2025,0.2730864197530864,Sales & Marketing
Content Writer,Other,31216.75,35%,553,2025,0.2730864197530864,Sales & Marketing
Contract Attorney,Other,191433.33333333334,40%,466,1378,0.3381712626995646,Data & IT
Contract Specialist,Full Time,111843.33333333333,63%,162,1161,0.1395348837209302,Law Enforcement
Contract Specialist,Other,86320.0,63%,162,1161,0.1395348837209302,Law Enforcement
Contracts Manager,Full Time,109870.0,55%,130,985,0.1319796954314721,Construction
Contracts Manager,Other,90755.0,55%,130,985,0.1319796954314721,Construction
Control Engineer,Full Time,111000.0,48%,473,1839,0.2572050027188689,Communication & PR
Control Engineer,Other,104624.0,48%,473,1839,0.2572050027188689,Communication & PR
Controller,Full Time,150339.65459770113,15%,839,3328,0.2521033653846153,Sales & Marketing
Controller,Other,129870.0,15%,839,3328,0.2521033653846153,Sales & Marketing
Controller,Part Time,130000.0,15%,839,3328,0.2521033653846153,Sales & Marketing
Controls Engineer,Full Time,99861.12903225806,40%,453,1254,0.361244019138756,Communication & PR
Controls Engineer,Other,91854.28571428571,40%,453,1254,0.361244019138756,Communication & PR
Controls Technician,Full Time,85936.88888888889,40%,304,964,0.3153526970954357,Sales & Marketing
Cook,Full Time,40252.33064516129,30%,84,610,0.1377049180327869,Hospitality
Cook,Other,50138.4,30%,84,610,0.1377049180327869,Hospitality
Cook,Part Time,42416.67368421053,30%,84,610,0.1377049180327869,Hospitality
Coordinator,Full Time,58396.71818055556,28%,265,1694,0.1564344746162927,Construction
Coordinator,Other,59804.3890625,28%,265,1694,0.1564344746162927,Construction
Coordinator,Part Time,49091.365,28%,265,1694,0.1564344746162927,Construction
Cop,Full Time,132286.66666666666,10%,392,1527,0.2567125081859855,Data & IT
Copy Editor,Other,79040.0,20%,5,40,0.125,Administrative & Clerical
Copywriter,Full Time,121361.42857142857,10%,1119,4811,0.2325919767200166,Law Enforcement
Copywriter,Other,91603.2,10%,1119,4811,0.2325919767200166,Law Enforcement
Coroner,Full Time,76544.0,5%,456,1618,0.2818294190358467,Construction
Corporate Counsel,Full Time,182510.68181818182,20%,5,20,0.25,Administrative & Clerical
Corporate Receptionist,Full Time,55000.0,75%,15,58,0.2586206896551724,Leadership & Strategy
Correctional Officer,Full Time,39127.68,65%,37,280,0.1321428571428571,Leadership & Strategy
Cost Accountant,Full Time,82551.50566666666,65%,158,1067,0.148078725398313,Communication & PR
Cost Accountant,Other,127015.2,65%,158,1067,0.148078725398313,Communication & PR
Cost Accounting Manager,Full Time,120000.0,50%,156,1101,0.1416893732970027,Sales & Marketing
Cost Controller,Other,119600.0,60%,195,1655,0.1178247734138972,Sales & Marketing
Cost Estimator,Full Time,139500.0,50%,164,1138,0.1441124780316344,Hospitality
Cost Estimator,Other,140400.0,50%,164,1138,0.1441124780316344,Hospitality
Counselor,Full Time,83993.0734375,20%,8,31,0.2580645161290322,Leadership & Strategy
Counselor,Other,153920.0,20%,8,31,0.2580645161290322,Leadership & Strategy
Counselor,Part Time,44324.799999999996,20%,8,31,0.2580645161290322,Leadership & Strategy
Counter Manager,Full Time,56940.0,25%,170,1337,0.1271503365744203,Communication & PR
Courier,Full Time,47598.2,35%,177,680,0.2602941176470588,Leadership & Strategy
Creative Director,Full Time,164597.77777777778,10%,1152,4622,0.2492427520553873,Sales & Marketing
Creative Project Manager,Full Time,75000.0,60%,169,1604,0.105361596009975,Administrative & Clerical
Creative Project Manager,Other,68640.0,60%,169,1604,0.105361596009975,Administrative & Clerical
Credentialing Coordinator,Full Time,50960.0,50%,164,1261,0.1300555114988104,Sales & Marketing
Credit Analyst,Full Time,86301.38535714286,70%,169,1398,0.1208869814020028,Leadership & Strategy
Credit Manager,Full Time,77500.0,76%,151,1094,0.1380255941499086,Supply Chain & Logistics
Credit Officer,Full Time,144409.1,70%,174,1452,0.1198347107438016,Medical & Healthcare
Credit Risk Analyst,Full Time,107633.33333333333,70%,171,1119,0.1528150134048257,Supply Chain & Logistics
Crew Chief,Full Time,55000.0,25%,109,879,0.124004550625711,Supply Chain & Logistics
Crew Member,Full Time,39000.0,18%,504,1900,0.2652631578947368,Supply Chain & Logistics
Crew Member,Other,40560.0,18%,504,1900,0.2652631578947368,Supply Chain & Logistics
Criminal Investigator,Full Time,153978.375,40%,517,1512,0.3419312169312169,Leadership & Strategy
Crossing Guard,Full Time,53690.0,20%,2,0,inf,Administrative & Clerical
Curator,Full Time,178215.5,15%,957,3964,0.241422805247225,Supply Chain & Logistics
Custodial Supervisor,Full Time,50173.333333333336,25%,171,1327,0.1288620949510173,Medical & Healthcare
Custodian,Full Time,37437.18095238096,60%,8,151,0.0529801324503311,Administrative & Clerical
Custodian,Other,30160.0,60%,8,151,0.0529801324503311,Administrative & Clerical
Custodian,Part Time,28080.0,60%,8,151,0.0529801324503311,Administrative & Clerical
Customer Advocate,Full Time,47264.96,20%,9,57,0.1578947368421052,Leadership & Strategy
Customer Care Representative,Full Time,50803.42857142857,55%,121,1083,0.1117266851338873,Law Enforcement
Customer Care Representative,Other,55120.0,55%,121,1083,0.1117266851338873,Law Enforcement
Customer Experience Manager,Full Time,67198.31999999999,20%,10,60,0.1666666666666666,Hospitality
Customer Service,Full Time,49496.65882352941,15%,1254,4766,0.2631137221989089,Administrative & Clerical
Customer Service,Other,40420.0,15%,1254,4766,0.2631137221989089,Administrative & Clerical
Customer Service,Part Time,34269.4,15%,1254,4766,0.2631137221989089,Administrative & Clerical
Customer Success Manager,Full Time,103761.578125,20%,10,60,0.1666666666666666,Leadership & Strategy
Cyber Security,Full Time,105093.8,15%,813,3139,0.2589996814272061,Communication & PR
DBA,Full Time,96630.0,25%,172,1322,0.1301059001512859,Law Enforcement
DBA,Other,136240.0,25%,172,1322,0.1301059001512859,Law Enforcement
Data Analyst,Full Time,107135.9088235294,60%,217,1405,0.1544483985765124,Leadership & Strategy
Data Analyst,Other,103365.64081632654,60%,217,1405,0.1544483985765124,Leadership & Strategy
Data Analyst,Part Time,75320.0,60%,217,1405,0.1544483985765124,Leadership & Strategy
Data Architect,Full Time,161747.26315789475,75%,162,1081,0.1498612395929695,Administrative & Clerical
Data Architect,Other,117019.0625,75%,162,1081,0.1498612395929695,Administrative & Clerical
Data Architect,Part Time,138800.0,75%,162,1081,0.1498612395929695,Administrative & Clerical
Data Center Technician,Full Time,81626.5,30%,202,1417,0.1425546930134086,Construction
Data Center Technician,Other,52083.2,30%,202,1417,0.1425546930134086,Construction
Data Collector,Part Time,48706.666666666664,95%,299,2148,0.1391992551210428,Data & IT
Data Engineer,Full Time,154165.81647058824,30%,216,1478,0.1461434370771312,Hospitality
Data Engineer,Other,131817.40740740742,30%,216,1478,0.1461434370771312,Hospitality
Data Engineer,Part Time,3519600.0,30%,216,1478,0.1461434370771312,Hospitality
Data Entry,Full Time,46037.541666666664,95%,325,2278,0.1426690079016681,Administrative & Clerical
Data Entry,Other,38301.05882352941,95%,325,2278,0.1426690079016681,Administrative & Clerical
Data Entry,Part Time,47840.0,95%,325,2278,0.1426690079016681,Administrative & Clerical
Data Manager,Full Time,109333.33333333333,35%,611,1771,0.3450028232636928,Data & IT
Data Modeler,Full Time,158469.0,80%,216,1767,0.1222410865874363,Medical & Healthcare
Data Modeler,Other,119600.0,80%,216,1767,0.1222410865874363,Medical & Healthcare
Data Scientist,Full Time,162766.31014492753,70%,180,1091,0.1649862511457378,Data & IT
Data Scientist,Other,134154.0909090909,70%,180,1091,0.1649862511457378,Data & IT
Data Scientist,Part Time,161874.5,70%,180,1091,0.1649862511457378,Data & IT
Database Analyst,Full Time,197600.0,80%,218,1773,0.122955442752397,Supply Chain & Logistics
Database Architect,Full Time,105000.0,60%,170,1564,0.108695652173913,Medical & Healthcare
Database Developer,Full Time,110258.625,80%,205,1726,0.1187717265353418,Law Enforcement
Database Developer,Other,135200.0,80%,205,1726,0.1187717265353418,Law Enforcement
Database Engineer,Full Time,121587.5,75%,12,55,0.2181818181818181,Medical & Healthcare
Database Engineer,Other,184329.6,75%,12,55,0.2181818181818181,Medical & Healthcare
Database Manager,Full Time,600000.0,40%,761,2088,0.364463601532567,Law Enforcement
Dealer,Full Time,106911.25,50%,54,369,0.1463414634146341,Hospitality
Dealer,Other,48880.0,50%,54,369,0.1463414634146341,Hospitality
